Ticker,Name,Sector,Cap,NameCln
ALV,Autoliv Inc.,Consumer Cyclical,10506.0,Autoliv
WYNN,Wynn Resorts Ltd.,Consumer Cyclical,10480.0,Wynn Resorts
SCI,Service Corp. International,Consumer Cyclical,10162.0,ServiceInternational
PAG,Penske Automotive Group Inc,Consumer Cyclical,10128.0,Penske Automotive Group
CCK,"Crown Holdings, Inc.",Consumer Cyclical,9968.0,Crown
ATR,Aptargroup Inc.,Consumer Cyclical,9722.0,Aptargroup
CHDN,"Churchill Downs, Inc.",Consumer Cyclical,9628.0,Churchill Downs
TPR,Tapestry Inc,Consumer Cyclical,9515.0,Tapestry
CROX,Crocs Inc,Consumer Cyclical,9403.0,Crocs
SKX,"Skechers U S A, Inc.",Consumer Cyclical,9329.0,Skechers USA
